time,steer,l_steer,e,theta,speed,a,de,dtheta,X
4.668000,0.024667,0.010000,-2.326904,-0.096677,13.490269,0.525952,1.312250,-0.039201,
4.690000,0.039333,0.024667,-2.297180,-0.097988,13.547025,1.673543,1.351110,-0.059567,
4.712000,0.054000,0.039333,-2.266296,-0.100291,13.603132,2.585879,1.403812,-0.104714,
4.734000,0.068667,0.054000,-2.233826,-0.103753,13.658525,3.407963,1.475934,-0.157336,
4.756000,0.083333,0.068667,-2.199402,-0.108419,13.713158,4.187471,1.564734,-0.212091,
4.778000,0.098000,0.083333,-2.162598,-0.114298,13.766975,4.940979,1.672921,-0.267260,
4.800000,0.112667,0.098000,-2.123108,-0.121388,13.819920,5.674242,1.794978,-0.322243,
4.822000,0.127333,0.112667,-2.080505,-0.129677,13.871923,6.388552,1.936496,-0.376792,
4.844000,0.142000,0.127333,-2.034668,-0.139140,13.912008,7.130065,2.083521,-0.430123,
4.866000,0.127333,0.142000,-1.985107,-0.149759,13.951982,7.778780,2.252738,-0.482683,
4.888000,0.112666,0.127333,-1.931824,-0.160975,13.980673,6.949605,2.422005,-0.509819,
4.910000,0.098000,0.112666,-1.875305,-0.171831,14.020798,6.051726,2.569026,-0.493458,
4.932000,0.083333,0.098000,-1.815979,-0.181789,14.039374,5.338337,2.696625,-0.452638,
4.954000,0.068666,0.083333,-1.754395,-0.190599,14.080847,4.466933,2.799314,-0.400468,
4.976000,0.054000,0.068666,-1.690796,-0.198155,14.084017,3.726461,2.890846,-0.343430,
4.998000,0.039333,0.054000,-1.625671,-0.204405,14.131536,2.790031,2.960182,-0.284101,
5.020000,0.024666,0.039333,-1.559387,-0.209333,14.127142,1.998770,3.012937,-0.223994,
5.042000,0.010000,0.024666,-1.492371,-0.212909,14.172490,1.061791,3.046207,-0.162557,
5.064000,-0.004667,0.010000,-1.425232,-0.215139,14.167358,0.198574,3.051733,-0.101360,
5.086000,-0.019334,-0.004667,-1.358093,-0.216008,14.201935,-0.716678,3.051776,-0.039509,
5.108000,-0.034000,-0.019334,-1.291382,-0.215536,14.194192,-1.608872,3.032333,0.021449,
5.130000,-0.048667,-0.034000,-1.225769,-0.213737,14.220934,-2.468544,2.982373,0.081808,
5.152000,-0.063334,-0.048667,-1.161438,-0.210625,14.210939,-3.330909,2.924154,0.141443,
5.174000,-0.078000,-0.063334,-1.098938,-0.206213,14.232149,-4.138755,2.840903,0.200523,
5.196000,-0.090005,-0.078000,-1.038635,-0.200519,14.220124,-4.963030,2.741007,0.258840,
5.218000,-0.090389,-0.090005,-0.980896,-0.193604,14.237823,-5.536953,2.624523,0.314327,
5.240000,-0.089323,-0.090389,-0.925720,-0.185869,14.225950,-5.401160,2.507983,0.351566,
5.262000,-0.087447,-0.089323,-0.873108,-0.177819,14.244015,-5.240504,2.391443,0.365912,
5.284000,-0.085115,-0.087447,-0.822998,-0.169724,14.233118,-5.138669,2.277730,0.367967,
5.306000,-0.082541,-0.085115,-0.775208,-0.161728,14.250130,-4.987802,2.172289,0.363424,
5.328000,-0.079812,-0.082541,-0.729797,-0.153909,14.239361,-4.870958,2.064120,0.355451,
5.350000,-0.077004,-0.079812,-0.686646,-0.146309,14.255104,-4.706899,1.961454,0.345421,
5.372000,-0.074166,-0.077004,-0.645630,-0.138953,14.244278,-4.567618,1.864339,0.334368,
5.394000,-0.071307,-0.074166,-0.606812,-0.131856,14.258939,-4.393527,1.764488,0.322613,
5.416000,-0.068463,-0.071307,-0.570007,-0.125021,14.248037,-4.239863,1.672922,0.310656,
5.438000,-0.065647,-0.068463,-0.535156,-0.118454,14.261847,-4.061639,1.584132,0.298520,
5.460000,-0.062866,-0.065647,-0.502197,-0.112150,14.250892,-3.902935,1.498149,0.286553,
5.482000,-0.060126,-0.062866,-0.471069,-0.106107,14.264051,-3.727187,1.414908,0.274682,
5.504000,-0.057449,-0.060126,-0.441589,-0.100319,14.253072,-3.568834,1.339991,0.263093,
5.526000,-0.054808,-0.057449,-0.413879,-0.094781,14.265754,-3.400330,1.259554,0.251724,
5.548000,-0.052234,-0.054808,-0.387695,-0.089487,14.254777,-3.246383,1.190187,0.240643,
5.570000,-0.049733,-0.052234,-0.362976,-0.084432,14.267107,-3.085975,1.123595,0.229761,
5.592000,-0.047294,-0.049733,-0.339722,-0.079610,14.256151,-2.940833,1.057026,0.219196,
5.614000,-0.044922,-0.047294,-0.317871,-0.075015,14.268217,-2.790574,0.993209,0.208832,
5.636000,-0.042628,-0.044922,-0.297302,-0.070643,14.257283,-2.653349,0.934941,0.198752,
5.658000,-0.040417,-0.042628,-0.277954,-0.066487,14.269134,-2.513599,0.879467,0.188880,
5.680000,-0.038288,-0.040417,-0.259766,-0.062542,14.258218,-2.386231,0.826749,0.179333,
5.702000,-0.036245,-0.038288,-0.242676,-0.058801,14.269880,-2.257357,0.776805,0.170042,
5.724000,-0.034277,-0.036245,-0.226685,-0.055257,14.258964,-2.139512,0.726878,0.161116,
5.746000,-0.032405,-0.034277,-0.211609,-0.051902,14.270457,-2.020319,0.685258,0.152471,
5.768000,-0.030619,-0.032405,-0.197449,-0.048730,14.259531,-1.911975,0.643638,0.144211,
5.790000,-0.028910,-0.030619,-0.184204,-0.045731,14.270885,-1.803858,0.602032,0.136299,
5.812000,-0.027284,-0.028910,-0.171753,-0.042898,14.259945,-1.704044,0.565961,0.128766,
5.834000,-0.025735,-0.027284,-0.160095,-0.040224,14.271190,-1.605466,0.529891,0.121563,
5.856000,-0.024259,-0.025735,-0.149170,-0.037700,14.260242,-1.514746,0.496607,0.114737,
5.878000,-0.022850,-0.024259,-0.138977,-0.035319,14.271413,-1.425281,0.463311,0.108215,
5.900000,-0.021508,-0.022850,-0.129456,-0.033074,14.260467,-1.342708,0.432790,0.102027,
5.922000,-0.020234,-0.021508,-0.120544,-0.030960,14.271591,-1.261497,0.405053,0.096108,
5.944000,-0.019030,-0.020234,-0.112183,-0.028969,14.260652,-1.187195,0.380081,0.090495,
5.966000,-0.017888,-0.019030,-0.104370,-0.027096,14.271749,-1.114948,0.355110,0.085148,
5.988000,-0.016820,-0.017888,-0.096985,-0.025334,14.260818,-1.048675,0.335695,0.080098,
6.010000,-0.015779,-0.016820,-0.090271,-0.023677,14.271892,-0.985080,0.305175,0.075310,
6.032000,-0.014807,-0.015779,-0.083923,-0.022120,14.260965,-0.924235,0.288533,0.070757,
6.054000,-0.013909,-0.014807,-0.077881,-0.020659,14.272013,-0.866383,0.274659,0.066403,
6.076000,-0.013027,-0.013909,-0.072449,-0.019288,14.261088,-0.814833,0.246914,0.062337,
6.098000,-0.012235,-0.013027,-0.067139,-0.018002,14.272108,-0.761672,0.241369,0.058459,
6.120000,-0.011447,-0.012235,-0.062439,-0.016795,14.261178,-0.716367,0.213624,0.054828,
6.142000,-0.010746,-0.011447,-0.057800,-0.015665,14.272166,-0.668620,0.210848,0.051372,
6.164000,-0.010039,-0.010746,-0.053772,-0.014606,14.261231,-0.628525,0.183107,0.048145,
6.186000,-0.009418,-0.010039,-0.049744,-0.013615,14.272201,-0.585366,0.183106,0.045066,
6.208000,-0.008799,-0.009418,-0.046204,-0.012686,14.261262,-0.549856,0.160910,0.042189,
6.230000,-0.008228,-0.008799,-0.042847,-0.011818,14.272218,-0.512315,0.152589,0.039472,
6.252000,-0.007729,-0.008228,-0.039490,-0.011006,14.261279,-0.479035,0.152588,0.036902,
6.274000,-0.007188,-0.007729,-0.036804,-0.010246,14.272235,-0.449977,0.122070,0.034547,
6.296000,-0.006711,-0.007188,-0.034119,-0.009536,14.261297,-0.417187,0.122071,0.032285,
6.318000,-0.006296,-0.006711,-0.031433,-0.008874,14.272255,-0.389008,0.122070,0.030102,
6.340000,-0.005886,-0.006296,-0.029053,-0.008255,14.261322,-0.365644,0.108198,0.028135,
6.362000,-0.005470,-0.005886,-0.027039,-0.007676,14.272278,-0.341099,0.091553,0.026310,
6.384000,-0.005103,-0.005470,-0.025024,-0.007136,14.261349,-0.316136,0.091553,0.024532,
6.406000,-0.004784,-0.005103,-0.023010,-0.006634,14.272304,-0.294624,0.091552,0.022839,
6.428000,-0.004508,-0.004784,-0.020996,-0.006165,14.261374,-0.276741,0.091553,0.021320,
6.450000,-0.004171,-0.004508,-0.019592,-0.005725,14.272321,-0.260942,0.063809,0.019980,
6.472000,-0.003863,-0.004171,-0.018250,-0.005315,14.261390,-0.239885,0.061035,0.018648,
6.494000,-0.003592,-0.003863,-0.016907,-0.004934,14.272330,-0.221205,0.061035,0.017293,
6.516000,-0.003356,-0.003592,-0.015564,-0.004581,14.261396,-0.205808,0.061035,0.016044,
6.538000,-0.003152,-0.003356,-0.014221,-0.004253,14.272333,-0.192386,0.061035,0.014934,
6.560000,-0.002974,-0.003152,-0.012878,-0.003946,14.261395,-0.181190,0.061035,0.013966,
6.582000,-0.002801,-0.002974,-0.011658,-0.003657,14.272327,-0.171275,0.055486,0.013120,
6.604000,-0.002562,-0.002801,-0.010986,-0.003385,14.261390,-0.161422,0.030517,0.012355,
6.626000,-0.002346,-0.002562,-0.010315,-0.003132,14.272326,-0.145724,0.030518,0.011503,
6.648000,-0.002156,-0.002346,-0.009644,-0.002899,14.261390,-0.133055,0.030517,0.010591,
6.670000,-0.001991,-0.002156,-0.008972,-0.002685,14.272327,-0.122178,0.030517,0.009729,
6.692000,-0.001847,-0.001991,-0.008301,-0.002488,14.261393,-0.113085,0.030518,0.008958,
6.714000,-0.001722,-0.001847,-0.007629,-0.002306,14.272332,-0.105096,0.030517,0.008277,
6.736000,-0.001613,-0.001722,-0.006958,-0.002137,14.261399,-0.098372,0.030518,0.007684,
6.758000,-0.001519,-0.001613,-0.006287,-0.001979,14.272339,-0.092408,0.030518,0.007167,
6.780000,-0.001438,-0.001519,-0.005615,-0.001831,14.261407,-0.087395,0.030517,0.006720,
6.802000,-0.001368,-0.001438,-0.004944,-0.001692,14.272346,-0.082918,0.030518,0.006331,
6.824000,-0.001307,-0.001368,-0.004272,-0.001560,14.261412,-0.079171,0.030518,0.005995,
6.846000,-0.001254,-0.001307,-0.003601,-0.001435,14.272346,-0.075802,0.030517,0.005703,
6.868000,-0.001208,-0.001254,-0.002930,-0.001315,14.261411,-0.073001,0.030518,0.005451,
6.890000,-0.001100,-0.001208,-0.002686,-0.001200,14.272344,-0.070460,0.011097,0.005231,
6.912000,-0.000962,-0.001100,-0.002686,-0.001091,14.261407,-0.062858,0.000000,0.004925,
6.934000,-0.000837,-0.000962,-0.002686,-0.000993,14.272340,-0.053517,0.000000,0.004466,
6.956000,-0.000727,-0.000837,-0.002686,-0.000906,14.261403,-0.045995,0.000000,0.003947,
6.978000,-0.000630,-0.000727,-0.002686,-0.000830,14.272337,-0.039621,0.000000,0.003450,
7.000000,-0.000546,-0.000630,-0.002686,-0.000764,14.261401,-0.034257,0.000000,0.003001,
7.022000,-0.000473,-0.000546,-0.002686,-0.000707,14.272335,-0.029602,0.000000,0.002604,
7.044000,-0.000410,-0.000473,-0.002686,-0.000657,14.261400,-0.025638,0.000000,0.002258,
7.066000,-0.000355,-0.000410,-0.002686,-0.000614,14.272337,-0.022176,0.000000,0.001956,
7.088000,-0.000307,-0.000355,-0.002686,-0.000577,14.261403,-0.019218,0.000000,0.001695,
7.110000,-0.000266,-0.000307,-0.002686,-0.000545,14.272339,-0.016628,0.000000,0.001468,
7.132000,-0.000231,-0.000266,-0.002686,-0.000517,14.261407,-0.014414,0.000000,0.001272,
7.154000,-0.000200,-0.000231,-0.002686,-0.000493,14.272342,-0.012473,0.000000,0.001102,
7.176000,-0.000173,-0.000200,-0.002686,-0.000472,14.261407,-0.010812,0.000000,0.000954,
7.198000,-0.000150,-0.000173,-0.002686,-0.000453,14.272341,-0.009357,0.000000,0.000827,
7.220000,-0.000130,-0.000150,-0.002686,-0.000438,14.261406,-0.008112,0.000000,0.000716,
